,Title,type_area,value_area,status,floor,transaction,furnishing,facing,price,price_sqft,description
0,"2 BHK Apartment for Sale in Vivaan Aura, Zundal Ahmedabad",Super Area,155 sqyrd,Poss. by Dec '26,New Property,Unfurnished,Vivaan Aura,2,â‚¹48.1 Lac ,"â‚¹3,444 per sqft ","Multistorey Apartment for Sale in Zundal, Ahmedabad. Covered area is 155.0  Sq-ft. This property belongs to ""Vivaan Aura"" .Read more"
1,"2 BHK Apartment for Sale in SP Epitome, Shela Ahmedabad",Carpet Area,710 sqft,Poss. by Jun '27,New Property,Unfurnished,SP Epitome,2,â‚¹50 Lac ,"â‚¹3,876 per sqft ","Multistorey Apartment for Sale in Shela, Ahmedabad. Covered area is 1290.0  Sq-ft. This property belongs to ""SP Epitome"" .Read more"
2,"2 BHK Apartment for Sale in Pacifica Amara, Sanand Ahmedabad",Carpet Area,588 sqft,Poss. by Dec '25,New Property,Unfurnished,Pacifica Amara,2,â‚¹40 Lac ,"â‚¹3,738 per sqft ","Multistorey Apartment for Sale in Sanand, Ahmedabad. Covered area is 1070.0  Sq-ft. This property belongs to ""Pacifica Amara"" .Read more"
3,"2 BHK Apartment for Sale in Kavisha AER, Shela Ahmedabad",Carpet Area,687 sqft,Poss. by Jun '26,New Property,Unfurnished,Kavisha AER,2,â‚¹48.8 Lac ,"â‚¹3,900 per sqft ","Multistorey Apartment for Sale in Shela, Ahmedabad. Covered area is 1250.0  Sq-ft. This property belongs to ""Kavisha AER"" .Read more"
4,"2 BHK Apartment for Sale in Aarambh Vistara, Gota Ahmedabad",Carpet Area,621 sqft,Poss. by Mar '25,New Property,Unfurnished,Aarambh Vistara,2,â‚¹48 Lac ,"â‚¹4,248 per sqft ","Multistorey Apartment for Sale in Gota, Ahmedabad. Covered area is 1130.0  Sq-ft. This property belongs to ""Aarambh Vistara"" .Read more"
5,"2 BHK Apartment for Sale in Vivaan Essence, Zundal Ahmedabad",Super Area,1413 sqft,Poss. by Jun '26,New Property,Unfurnished,Vivaan Essence,1 Covered,â‚¹49.9 Lac ,"â‚¹3,533 per sqft ",
6,"2 BHK Apartment for Sale in Kavisha AER, Shela Ahmedabad",Carpet Area,700 sqft,Poss. by Dec '25,7 out of 14,New Property,Unfurnished,East,â‚¹49.1 Lac ,"â‚¹3,900 per sqft ","Prime Location in Shela, Nice Locality  Easily available daily needed in near by. Fast Developing Area, Very Near by Main VIP Road.Read more"
7,"2 BHK Apartment for Sale in Vivaan Aura, Zundal Ahmedabad",Carpet Area,85 sqyrd,Poss. by Jun '26,11 out of 14,New Property,Unfurnished,East,â‚¹48.4 Lac ,"â‚¹3,444 per sqft ","To gain an overview of the house structure, it is best to study the floor plans as these will give you a clear picture of the layout. At Vivaan Aura you can choose from 1 configurations that are available in 1 types of floor plans or layouts. 3 BHK Flat size is available in sizes of 1845 sq. ft super area. Bathrooms with contemporary fittings and balconies that allow for easy ventilation are part of the configurations. All the various configurations of Vivaan Aura are available on Magicbricks for your reference.Read more"
8,"2 BHK Apartment for Sale in Kavisha Atria, Shela Ahmedabad",Carpet Area,655 sqft,Poss. by Jul '24,New Property,Unfurnished,North - East,Garden/Park,â‚¹45.2 Lac ,"â‚¹4,000 per sqft ","Kavisha Atrias Architectural design effortlessly compliments its pristine surroundings, its space where nature and creative intelligance are weaved together to develop a personal space for you and your loved ones, a space that is elegant and functional. each of the premium plus size apartments at kavisha atria are crafted with exclusive amenities that ensure a happy and comfortable lifestyle.Read more"
9,"2 BHK Apartment for Sale in Sun Parkwest, Shela Ahmedabad",Carpet Area,676 sqft,Poss. by Jul '26,5 out of 14,New Property,Unfurnished,East,â‚¹42.6 Lac ,"â‚¹3,300 per sqft ","Sun Parkwest is a well designed project by Sun Builders. It is offering Under Construction units. If you are looking at Apartment, you should check out Sun Parkwest. Set in an expanse of 1.21 Acres , the property offers a remarkable lifestyle. Available configurations include 2 BHK, 3 BHK. As per the area plan, units are in the size range of 1290 to 1597 sq.ft.Read more"
